BeerID;StyleID;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;BrewMethod;PitchRate;PrimaryTemp;PrimingMethod;PrimingAmount;UserId
8045;10;25;1.052;1.015;4.9;36.95;8.85;31;60;1.042;70;3;All Grain;0.75;N/A;sugar;107;
8046;24;20.82;1.049;1.009;5.23;46.43;7.23;26.5;60;1.038;66;N/A;All Grain;0.35;20;N/A;N/A;
8047;30;23.09;1.051;1.014;4.84;16.8;5.35;34.45;90;1.034;74;1.5;All Grain;0.35;18.33;N/A;N/A;14460
8048;94;670;1.043;1.008;4.5;27.31;3.32;690;90;1.041;75;3;All Grain;N/A;17;N/A;N/A;
8049;21;5.5;1.096;1.013;10.99;27.53;17.76;8;90;1.052;80;2.75;All Grain;1.25;19;N/A;N/A;
8050;86;20.82;1.077;1.018;7.71;358.74;10.08;28.39;60;1.056;70;1.25;All Grain;1.25;20;N/A;N/A;
8051;114;20;1.052;1.012;5.2;26.5;33.14;25;70;1.042;70;3;All Grain;0.5;20;N/A;N/A;
8052;75;20.82;1.055;1.014;5.38;3.99;3.92;11.36;60;N/A;35;N/A;extract;0.35;20;Corn Sugar;5oz;
8053;7;18.93;1.063;1.015;6.27;72.97;34.27;28.39;60;1.042;78;N/A;All Grain;N/A;18.33;N/A;N/A;
8054;14;19.87;1.048;1.012;4.72;19.97;3.47;25.55;60;1.037;0;N/A;extract;N/A;12.78;N/A;N/A;
8055;86;24.61;1.083;1.018;8.45;98.41;40;30.28;90;1.067;75;N/A;All Grain;1;20;Corn sugar;3.0oz  21 days;5385
8056;10;18.93;1.058;1.016;5.49;101.46;7.32;22.71;60;1.048;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;20676
8057;86;41.64;1.077;1.012;8.46;174.9;7.41;53;90;1.06;68;1.3;All Grain;0.75;19.44;Forced;12 psi;15241
8058;85;18.93;1.105;1.029;9.89;35.86;17.71;26.5;60;N/A;75;N/A;All Grain;1.25;20;N/A;N/A;
8059;4;18.93;1.067;1.02;6.2;35.66;9.45;24.61;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;2327
8060;44;4.01;1.056;1;7.4;0;3.66;3.79;0;1.06;75;N/A;BIAB;0.5;17.78;N/A;N/A;
8061;109;6;1.072;1.014;7.54;56.85;8.19;7;60;1.061;70;N/A;BIAB;0.35;23;N/A;N/A;
8062;132;19.68;1.09;1.021;9.05;89.34;33.33;22.71;60;1.078;75;1.6;All Grain;0.75;22.22;keg;10;56721
8063;6;18.93;1.055;1.013;5.52;55.53;15.94;22.71;60;N/A;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;
8064;145;18.93;1.074;1.017;7.42;36.16;5.1;11.36;60;1.088;35;N/A;extract;0.35;22.22;priming sugar;.5oz;26830
8065;135;19.87;1.048;1.011;4.8;22.58;22.73;27.44;90;1.035;79;1.38;All Grain;1.5;8.89;N/A;N/A;
8066;115;22.71;1.06;1.018;5.39;26.99;6.53;13.25;60;N/A;40;N/A;extract;0.5;12.22;N/A;N/A;5854
8067;145;20.82;1.048;1.013;4.6;26.44;17.06;22.71;60;1.044;65;1.25;All Grain;N/A;N/A;N/A;N/A;18590
8068;12;18.93;1.082;1.025;7.45;53.23;40;28.39;60;1.055;95;N/A;BIAB;0.75;20;N/A;N/A;18410
8069;7;22.71;1.064;1.013;6.65;98.56;14.09;26.5;60;1.055;60;1.25;All Grain;N/A;N/A;N/A;N/A;3811
8070;86;20.82;1.083;1.019;8.38;223.33;4.74;28.39;60;1.061;75;1.75;All Grain;N/A;N/A;N/A;N/A;
8071;134;3.79;1.061;1.009;6.76;36.38;7.42;6.44;60;1.036;65;2.5;All Grain;0.5;21.11;N/A;N/A;
8072;92;20.82;1.062;1.018;5.85;26.23;17.14;26.5;60;1.049;74;N/A;BIAB;2;18.89;N/A;N/A;34701
8073;175;20.82;1.052;1.013;5.14;16.37;5.27;28.39;60;1.038;60;N/A;BIAB;0.35;20;N/A;N/A;5100
8074;7;20.82;1.071;1.017;7.17;73.62;7.22;28.39;60;N/A;75;N/A;All Grain;N/A;21.11;Dextrose;4.1 oz.;7774
8075;114;25;1.057;1.019;4.94;23.73;38.36;28;60;1.051;80;3;All Grain;0.75;20;N/A;N/A;27805
8076;132;18.93;1.117;1.018;13.04;93.95;50;20.82;90;1.106;35;N/A;extract;N/A;21.11;N/A;N/A;
8077;129;8.5;1.063;1.014;6.42;41.55;34.69;4;60;1.133;35;N/A;extract;0.35;17;Table Sugar;40g;
8078;7;2000;1.073;1.013;7.89;40.04;13.8;2450;75;1.06;75;2.5;All Grain;0.75;18;N/A;N/A;
8079;10;21;1.044;1.011;4.31;73.04;5.75;21;60;1.044;70;3;All Grain;0.35;20;N/A;N/A;
8080;72;25;1.056;1.016;5.27;46.69;38.66;28;60;1.05;75;N/A;BIAB;N/A;18;Sukkerlake;5.5 g / liter;18325
8081;10;20.82;1.051;1.012;5.05;42.04;6.63;13.25;60;1.08;72;N/A;Partial Mash;0.75;20;Corn Sugar;N/A;20681
8082;25;20.82;1.056;1.012;5.74;24.18;4.6;28.39;60;1.041;72;1.3;All Grain;N/A;22.22;N/A;N/A;
8083;39;19;1.048;1.009;5.12;48.64;12.16;25;60;1.037;70;N/A;All Grain;0.35;25;N/A;N/A;1551
8084;86;20.82;1.082;1.016;8.76;91.02;12.61;11.36;60;1.151;35;N/A;extract;N/A;N/A;N/A;N/A;
8085;7;20.82;1.066;1.012;7.2;0;8.1;27.72;60;N/A;69;N/A;All Grain;N/A;N/A;N/A;N/A;
8086;131;19.68;1.047;1.012;4.58;0;6.15;23.47;60;N/A;60;N/A;All Grain;N/A;N/A;N/A;N/A;
8087;134;3.79;1.063;1.012;6.78;39.42;5.76;4.73;60;1.051;75;N/A;All Grain;0.35;26.67;N/A;N/A;
8088;30;20.82;1.051;1.012;5.17;19.66;4.63;24.87;60;1.043;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;968
8089;7;18.93;1.065;1.014;6.6;0;16.9;22.71;90;N/A;60;N/A;All Grain;N/A;N/A;N/A;N/A;
8090;61;45.42;1.052;1.013;5.11;13.03;20.1;56.78;90;1.042;72;1.4;All Grain;N/A;17.78;N/A;N/A;
8091;113;20.82;1.05;1.012;5;26.9;19.55;11.36;60;1.092;35;N/A;extract;N/A;18.33;dextrose;4.5 oz;21525
8092;155;39.75;1.07;1.015;7.3;0;39.2;44.14;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;
8093;55;1000;1.048;1.012;4.75;17.97;4.67;1000;60;1.048;75;3;All Grain;N/A;N/A;N/A;N/A;
8094;33;18.93;1.051;1.015;4.67;30.72;3.99;22.71;60;1.042;35;N/A;extract;0.35;22.22;N/A;N/A;16239
8095;39;2365.88;1.061;1.013;6.21;22.2;4.49;2460.52;60;1.058;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;
8096;7;20.82;1.083;1.021;8.12;0;3.37;24.61;60;N/A;75;N/A;extract;N/A;N/A;N/A;N/A;
8097;152;3.79;1.057;1.01;6.22;35.83;5.42;5.68;90;1.038;65;1.5;All Grain;0.5;17.78;N/A;N/A;45128
8098;76;3.79;1.042;1.011;4.13;0;2.4;3.79;60;1.042;35;N/A;extract;N/A;N/A;N/A;N/A;
8099;7;20.82;1.068;1.015;7;52.19;10.08;30.28;60;1.047;70;1.5;All Grain;0.5;18.89;N/A;N/A;
8100;174;20.82;1.076;1.022;7.13;32.91;15.41;28.39;60;1.056;70;1.5;All Grain;0.75;20;N/A;N/A;
8101;7;22.71;1.076;1.018;7.57;175.2;5.53;30.28;90;1.053;80;1.5;All Grain;0.5;17.78;N/A;N/A;19498
8102;116;18.93;1.078;1.02;7.66;0;18.8;24.61;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
8103;145;18.93;1.107;1.027;10.49;50;7.19;11.36;60;1.178;70;N/A;Partial Mash;0.5;21.11;priming sugar;8 ozs;
8104;46;20.82;1.071;1.007;8.44;0;3.37;20.82;0;1.071;100;N/A;extract;1;23.89;N/A;N/A;15289
8105;116;20.82;1.079;1.018;8.04;47.49;20.57;28.39;120;1.058;70;1.25;All Grain;N/A;N/A;N/A;N/A;
8106;29;3.79;1.069;1.012;7.43;22.27;10.33;7.57;60;1.034;75;N/A;BIAB;N/A;20;N/A;N/A;
8107;7;21.77;1.064;1.012;6.77;70.82;6.96;32.18;60;1.043;68;1.3;All Grain;1;20;N/A;N/A;1569
8108;10;18.93;1.058;1.016;5.45;37.41;10.85;26.3;60;1.042;69;2.6;All Grain;0.35;18;DME;188;8627
8109;4;18.93;1.078;1.019;7.62;0;16.62;22.71;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;35054
8110;7;41.64;1.054;1.015;5.14;138.64;6.82;45.42;60;1.05;70;1.3;All Grain;N/A;N/A;N/A;N/A;348
8111;6;20.82;1.055;1.015;5.16;62.81;18.03;28.39;60;N/A;75;N/A;BIAB;0.75;19.44;cane sugar;.75 cups;9765
8112;1;23.47;1.058;1.015;5.64;28.27;16.13;36.34;123;1.037;80;3.43;All Grain;N/A;N/A;N/A;N/A;
8113;24;19.87;1.057;1.011;5.98;31.12;6.56;11.36;60;1.1;35;N/A;extract;N/A;18.89;N/A;N/A;
8114;12;18.93;1.062;1.017;5.87;48.48;34.35;24.61;60;1.048;25;N/A;extract;N/A;N/A;N/A;N/A;
8115;175;20.82;1.052;1.014;5.06;18.05;3.83;24.61;60;1.044;75;1.5;All Grain;N/A;22.22;N/A;N/A;
8116;109;39.75;1.054;1.009;5.83;27.33;3.37;47.32;90;1.045;80;1.5;All Grain;1.75;11.11;N/A;N/A;
8117;68;41.64;1.055;1.014;5.43;54.66;12.69;45.42;60;1.051;80;1.5;All Grain;N/A;N/A;N/A;N/A;24260
8118;167;38;1.053;1.015;5;23.19;12.4;42;60;1.048;65;3;All Grain;N/A;10;N/A;N/A;
8119;10;20.82;1.054;1.014;5.35;26.29;12.63;27.44;60;1.041;65;N/A;BIAB;0.5;18.89;N/A;N/A;56565
8120;30;20.82;1.054;1.01;5.69;29.87;5.09;28.39;60;1.039;89;N/A;All Grain;0.35;20;N/A;N/A;41636
8121;7;18.93;1.061;1.011;6.58;79.42;17.78;22.71;60;1.049;70;N/A;All Grain;N/A;20;N/A;N/A;3209
8122;175;18.93;1.058;1.018;5.28;15.29;3.12;11.36;60;1.097;70;N/A;Partial Mash;N/A;22.78;N/A;N/A;
8123;144;19.68;1.071;1.02;6.72;0;8.63;23.85;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
8124;7;18.93;1.053;1.015;4.98;173.39;10.85;24.61;60;N/A;60;N/A;All Grain;N/A;N/A;N/A;N/A;
8125;12;33;1.068;1.016;6.8;70.92;32.66;38;60;1.059;74;3;All Grain;1;20;N/A;N/A;
8126;129;18.93;1.042;1.011;4.13;0;36.56;24.61;60;N/A;63;N/A;All Grain;N/A;N/A;N/A;N/A;
8127;132;21;1.072;1.014;7.56;139.28;32.32;27;60;1.056;68;2;All Grain;N/A;20;N/A;N/A;47616
8128;132;18.93;1.089;1.016;10.39;50.16;38.42;9.46;60;1.179;35;N/A;extract;0.75;18.89;Dextrose  prime when bottling;5 oz;
8129;170;16;1.048;1.011;4.87;13.83;3.28;20;60;1.039;70;2;All Grain;0.5;18;N/A;N/A;
8130;10;18.93;1.056;1.011;5.84;39.49;4.89;22.71;60;1.047;65;N/A;BIAB;N/A;20.56;N/A;N/A;40478
8131;132;22.71;1.107;1.018;13;81.96;45.27;33.01;90;1.074;65;N/A;BIAB;0.5;18.89;N/A;N/A;
8132;7;39.75;1.058;1.016;5.51;150.33;7.92;43.53;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;348
8133;15;20.82;1.055;1.011;5.89;14.75;7.08;11.36;60;1.034;80;N/A;extract;0.35;18.89;N/A;N/A;48271
